familia,nombre,genero,color,talla,cantidad,valor,proveedor,tipo_movimiento,fecha,factura,orden,concepto
BATA,BATA CLINICA,UNISEX,CELESTE,M,10,22.00,TEXTILES DEL NORTE S.A.C.,1002,,F001-000100,OC-2026-0001,Devolución de cliente
POLO,POLO BASICO,MUJER,AZUL MARINO,S,17,13.30,HILADOS PIURA E.I.R.L.,1000,,F001-000101,OC-2026-0002,Compra de temporada
PANTALON,PANTALON DRIL,HOMBRE,NEGRO,XS,24,33.20,CONFECCIONES LUCERO,1000,,F001-000102,OC-2026-0003,Compra de temporada
CAMISA,CAMISA FORMAL,HOMBRE,BEIGE,XXL,31,39.75,TEXTILES DEL NORTE S.A.C.,1000,,F001-000103,OC-2026-0004,Compra de temporada
CAMISETA,CAMISETA ALGODON,HOMBRE,CELESTE,XL,38,14.16,HILADOS PIURA E.I.R.L.,1000,,F001-000104,OC-2026-0005,Compra de temporada
JEAN,JEAN CLASICO,MUJER,AZUL MARINO,L,45,51.25,CONFECCIONES LUCERO,1000,,F001-000105,OC-2026-0006,Compra de temporada
SHORT,SHORT DEPORTIVO,NINO,NEGRO,M,52,17.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000106,OC-2026-0007,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,BEIGE,S,59,48.02,HILADOS PIURA E.I.R.L.,1000,,F001-000107,OC-2026-0008,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,CELESTE,XS,66,22.72,CONFECCIONES LUCERO,1000,,F001-000108,OC-2026-0009,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,AZUL MARINO,XXL,73,28.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000109,OC-2026-0010,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,NEGRO,XL,80,58.50,HILADOS PIURA E.I.R.L.,1000,,F001-000110,OC-2026-0011,Compra de temporada
FALDA,FALDA ESCOLAR,NINA,BEIGE,10,87,20.30,CONFECCIONES LUCERO,1000,,F001-000111,OC-2026-0012,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,CELESTE,M,94,49.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000112,OC-2026-0013,Compra de temporada
